_framework_ref,id,framework,domain,sub_domain,control,detail
4.4,CIS 8.1-4.4,CIS 8.1,Secure Configuration of Enterprise Assets and Software,Implement and Manage a Firewall on Servers,,"Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent."
4.5,CIS 8.1-4.5,CIS 8.1,Secure Configuration of Enterprise Assets and Software,Implement and Manage a Firewall on End-User Devices,,"Implement and manage a host-based firewall or port-filtering tool on end-user devices, with a default-deny rule that drops all traffic except those services and ports that are explicitly allowed."
4.6,CIS 8.1-4.6,CIS 8.1,Secure Configuration of Enterprise Assets and Software,Securely Manage Enterprise Assets and Software,,"Securely manage enterprise assets and software. Example implementations include managing configuration through version-controlled Infrastructure-as-Code (IaC) and accessing administrative interfaces over secure network protocols, such as Secure Shell (SSH) and Hypertext Transfer Protocol Secure (HTTPS). Do not use insecure management protocols, such as Telnet (Teletype Network) and HTTP, unless operationally essential."
4.7,CIS 8.1-4.7,CIS 8.1,Secure Configuration of Enterprise Assets and Software,Manage Default Accounts on Enterprise Assets and Software,,"Manage default accounts on enterprise assets and software, such as root, administrator, and other pre-configured vendor accounts. Example implementations can include: disabling default accounts or making them unusable."
4.8,CIS 8.1-4.8,CIS 8.1,Secure Configuration of Enterprise Assets and Software,Uninstall or Disable Unnecessary Services on Enterprise Assets and Software,,"Uninstall or disable unnecessary services on enterprise assets and software, such as an unused file sharing service, web application module, or service function."
4.9,CIS 8.1-4.9,CIS 8.1,Secure Configuration of Enterprise Assets and Software,Configure Trusted DNS Servers on Enterprise Assets,,Configure trusted DNS servers on network infrastructure. Example implementations include configuring network devices to use enterprise-controlled DNS servers and/or reputable externally accessible DNS servers.
5.1,CIS 8.1-5.1,CIS 8.1,Account Management,Establish and Maintain an Inventory of Accounts,,"Establish and maintain an inventory of all accounts managed in the enterprise. The inventory must at a minimum include user, administrator accounts, and service accounts. The inventory, at a minimum, should contain the person's name, username, start/stop dates, and department. Validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently."
5.2,CIS 8.1-5.2,CIS 8.1,Account Management,Use Unique Passwords,,"Use unique passwords for all enterprise assets. Best practice implementation includes, at a minimum, an 8-character password for accounts using Multi-Factor Authentication (MFA) and a 14-character password for accounts not using MFA."
5.3,CIS 8.1-5.3,CIS 8.1,Account Management,Disable Dormant Accounts,,"Delete or disable any dormant accounts after a period of 45 days of inactivity, where supported."
5.4,CIS 8.1-5.4,CIS 8.1,Account Management,Restrict Administrator Privileges to Dedicated Administrator Accounts,,"Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productivity suite use, from the user's primary, non-privileged account."
5.5,CIS 8.1-5.5,CIS 8.1,Account Management,Establish and Maintain an Inventory of Service Accounts,,"Establish and maintain an inventory of service accounts. The inventory, at a minimum, must contain department owner, review date, and purpose. Perform service account reviews to validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently."
5.6,CIS 8.1-5.6,CIS 8.1,Account Management,Centralize Account Management,,Centralize account management through a directory or identity service.
6.1,CIS 8.1-6.1,CIS 8.1,Access Control Management,Establish an Access Granting Process,,"Establish and follow a documented process, preferably automated, for granting access to enterprise assets upon new hire or role change of a user."
6.2,CIS 8.1-6.2,CIS 8.1,Access Control Management,Establish an Access Revoking Process,,"Establish and follow a process, preferably automated, for revoking access to enterprise assets, through disabling accounts immediately upon termination, rights revocation, or role change of a user. Disabling accounts, instead of deleting accounts, may be necessary to preserve audit trails."
6.3,CIS 8.1-6.3,CIS 8.1,Access Control Management,Require MFA for Externally-Exposed Applications,,"Require all externally-exposed enterprise or third-party applications to enforce MFA, where supported. Enforcing MFA through a directory service or SSO provider is a satisfactory implementation of this Safeguard."
6.4,CIS 8.1-6.4,CIS 8.1,Access Control Management,Require MFA for Remote Network Access,,Require MFA for remote network access.
6.5,CIS 8.1-6.5,CIS 8.1,Access Control Management,Require MFA for Administrative Access,,"Require MFA for all administrative access accounts, where supported, on all enterprise assets, whether managed on-site or through a service provider."
